hogar,mean,median,min,max,std,p25,p50,p75
ABLD_Consumos_2023-02_2025-06,0.20337164750957853,0.104,0.0,2.33,0.2326406540870191,0.071,0.104,0.222
AJVG_Consumos_2023-01_2024-06,0.24278345899017592,0.084,0.0,4.021,0.3761395909809483,0.051,0.084,0.229
ATF_Consumos_2024-03_2024-06,0.14748365565634092,0.114,0.0,2.273,0.15151097616629772,0.073,0.114,0.154
FJAG_Consumos_2023-01_2024-12,0.44303796014471947,0.246,0.048,5.326,0.7118302267825742,0.171,0.246,0.41
FMB_Consumos_2023-03_2025-06,0.19807118081000538,0.129,0.0,3.138,0.23070745566655437,0.053,0.129,0.244
GPC_Consumos_2023-01_2024-06,0.16864276901987663,0.098,0.0,2.567,0.19955964764639425,0.065,0.098,0.173
JACL_Consumos_2023-01_2024-06,0.13443618917066483,0.097,0.0,1.584,0.1657227230492132,0.064,0.097,0.136
JALG_Consumos_2023-01_2024-06,0.28461663239661866,0.18,0.0,2.34,0.2668210806958856,0.108,0.18,0.361
JLG_Consumos_2023-01_2024-06,0.1475575051405072,0.094,0.0,2.256,0.17054931315565625,0.059,0.094,0.156
JMM_Consumos_2023-01_2024-06,0.27675782499428836,0.201,0.0,5.359,0.31789624587828236,0.139,0.201,0.291
LFZA_Consumos_2023-01_2024-06,0.16798853095727667,0.107,0.0,2.596,0.21797789317677368,0.071,0.107,0.167
MANA_Consumos_2023-01_2024-06,0.2825713959332876,0.183,0.0,2.731,0.2978592833878477,0.118,0.183,0.326
MBGV_Consumos_2023-01_2024-06,0.19845154215215902,0.113,0.0,2.429,0.20671336567422582,0.084,0.113,0.212
MJS_Consumos_2024-12_2024-06,0.69824267453294,0.44,0.0,4.181,0.6199790849717797,0.236,0.44,1.0
MTTA_Consumos_2023-02_2025-06,0.30703471926588144,0.216,0.0,4.277,0.323419042181507,0.123,0.216,0.342
PAA_Consumos_2023-01_2024-06,0.2662627370344985,0.126,0.0,3.853,0.3399658938175285,0.059,0.126,0.339
RFM_Consumos_2023-01_2024-06,0.12631871144619602,0.102,0.0,1.754,0.08958938296021074,0.085,0.102,0.133
RTF_Consumos_2023-01_2024-06,0.314185880740233,0.176,0.0,3.132,0.3186633009767186,0.106,0.176,0.4
